Week Ending,Impressions,Clicks
2018-02-11,5028,14
2018-02-18,0,0
2018-02-25,0,0
2018-03-04,0,0
2018-03-11,0,0
2018-03-18,1444,4
2018-03-25,0,0
2018-04-01,0,0
2018-04-08,1960,66
2018-04-15,8484,218
2018-04-22,18,76
2018-04-29,0,0
2018-05-06,2192,88
2018-05-13,7892,302
2018-05-20,20026,464
2018-05-27,0,0
2018-06-03,0,0
2018-06-10,0,0
2018-06-17,0,0
2018-06-24,0,0
2018-07-01,0,0
2018-07-08,0,0
2018-07-15,0,0
2018-07-22,0,0
2018-07-29,0,0
2018-08-05,0,0
2018-08-12,0,0
2018-08-19,0,0
2018-08-26,0,0
2018-09-02,0,0
2018-09-09,0,0
2018-09-16,0,0
2018-09-23,0,0
2018-09-30,3058,94
2018-10-07,0,0
2018-10-14,0,0
2018-10-21,0,0
2018-10-28,0,0
2018-11-04,0,0
2018-11-11,0,0
2018-11-18,0,0
2018-11-25,0,0
2018-12-02,0,0
2018-12-09,0,0
2018-12-16,0,0
2018-12-23,0,0
2018-12-30,0,0
2019-01-06,0,0
2019-01-13,0,0
2019-01-20,0,0
2019-01-27,0,0
2019-02-03,0,32
2019-02-10,0,40
2019-02-17,54,58
2019-02-24,0,24
2019-03-03,0,14
2019-03-10,0,10
2019-03-17,0,8
2019-03-24,0,10
2019-03-31,96,50
2019-04-07,618,302
2019-04-14,60,64
2019-04-21,0,2
2019-04-28,0,0
2019-05-05,0,2
2019-05-12,0,8
2019-05-19,0,0
2019-05-26,0,18
2019-06-02,0,0
2019-06-09,0,0
2019-06-16,0,22
2019-06-23,0,42
2019-06-30,3020,14
2019-07-07,6012,22
2019-07-14,16,48
2019-07-21,12,20
2019-07-28,28,90
2019-08-04,16,36
2019-08-11,46,102
2019-08-18,60,120
2019-08-25,20,58
2019-09-01,1276,644
2019-09-08,518,314
2019-09-15,150,114
2019-09-22,0,0
2019-09-29,0,0
2019-10-06,0,0
2019-10-13,0,30
2019-10-20,0,22
2019-10-27,0,0
2019-11-03,0,18
2019-11-10,0,64
2019-11-17,0,44
2019-11-24,0,34
2019-12-01,0,16
2019-12-08,0,14
2019-12-15,0,8
2019-12-22,0,18
2019-12-29,0,6
2020-01-05,0,4
